goos: darwin
goarch: arm64
pkg: github.com/VictoriaMetrics/VictoriaLogs/app/vlinsert/insertutil
cpu: Apple M3
BenchmarkAddRow-8                   	 5495389	       186.6 ns/op	2599.70 MB/s	     527 B/op	       4 allocs/op
BenchmarkAddRow-8                   	 5994507	       188.3 ns/op	2575.47 MB/s	     527 B/op	       4 allocs/op
BenchmarkAddRow-8                   	 5777751	       196.4 ns/op	2469.56 MB/s	     527 B/op	       4 allocs/op
BenchmarkAddRow-8                   	 5658224	       190.7 ns/op	2543.73 MB/s	     527 B/op	       4 allocs/op
BenchmarkAddRow-8                   	 5538786	       190.0 ns/op	2553.16 MB/s	     527 B/op	       4 allocs/op
BenchmarkAddRow-8                   	 5500992	       199.8 ns/op	2427.99 MB/s	     527 B/op	       4 allocs/op
BenchmarkAddRow-8                   	 6144466	       201.1 ns/op	2412.11 MB/s	     527 B/op	       4 allocs/op
BenchmarkAddRow-8                   	 5322063	       206.6 ns/op	2347.03 MB/s	     527 B/op	       4 allocs/op
BenchmarkAddRow-8                   	 4574919	       220.2 ns/op	2202.63 MB/s	     527 B/op	       4 allocs/op
BenchmarkAddRow-8                   	 6106226	       196.8 ns/op	2464.42 MB/s	     527 B/op	       4 allocs/op
BenchmarkNewBatchID-8               	12010438	        99.16 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID-8               	12190041	       101.0 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID-8               	11950202	        99.16 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID-8               	12096331	        98.51 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID-8               	12172287	        98.85 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID-8               	12047436	        99.81 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID-8               	12034639	        99.45 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID-8               	12087218	        99.30 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID-8               	12104542	        99.67 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID-8               	12016497	       102.4 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID_Parallel-8      	19875940	        60.83 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID_Parallel-8      	19782718	        59.89 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID_Parallel-8      	19816068	        60.67 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID_Parallel-8      	19532704	        62.70 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID_Parallel-8      	19706388	        64.30 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID_Parallel-8      	19881360	        62.29 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID_Parallel-8      	19968978	        60.91 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID_Parallel-8      	19793256	        60.65 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID_Parallel-8      	19497386	        64.31 ns/op	      64 B/op	       4 allocs/op
BenchmarkNewBatchID_Parallel-8      	19618287	        61.25 ns/op	      64 B/op	       4 allocs/op
BenchmarkSetField_Append-8          	 5541704	       214.8 ns/op	    2112 B/op	       2 allocs/op
BenchmarkSetField_Append-8          	 5620492	       213.8 ns/op	    2112 B/op	       2 allocs/op
BenchmarkSetField_Append-8          	 5682562	       217.4 ns/op	    2112 B/op	       2 allocs/op
BenchmarkSetField_Append-8          	 5593344	       220.5 ns/op	    2112 B/op	       2 allocs/op
BenchmarkSetField_Append-8          	 5620072	       217.2 ns/op	    2112 B/op	       2 allocs/op
BenchmarkSetField_Append-8          	 5671314	       215.0 ns/op	    2112 B/op	       2 allocs/op
BenchmarkSetField_Append-8          	 5606746	       223.6 ns/op	    2112 B/op	       2 allocs/op
BenchmarkSetField_Append-8          	 5597641	       212.9 ns/op	    2112 B/op	       2 allocs/op
BenchmarkSetField_Append-8          	 5693852	       211.4 ns/op	    2112 B/op	       2 allocs/op
BenchmarkSetField_Append-8          	 5722305	       211.0 ns/op	    2112 B/op	       2 allocs/op
BenchmarkSetField_Overwrite-8       	13597335	        88.51 ns/op	     704 B/op	       1 allocs/op
BenchmarkSetField_Overwrite-8       	13689156	        88.07 ns/op	     704 B/op	       1 allocs/op
BenchmarkSetField_Overwrite-8       	13879063	        87.47 ns/op	     704 B/op	       1 allocs/op
BenchmarkSetField_Overwrite-8       	13644762	        87.16 ns/op	     704 B/op	       1 allocs/op
BenchmarkSetField_Overwrite-8       	13747764	        86.92 ns/op	     704 B/op	       1 allocs/op
BenchmarkSetField_Overwrite-8       	13768585	        87.97 ns/op	     704 B/op	       1 allocs/op
BenchmarkSetField_Overwrite-8       	13729034	        87.57 ns/op	     704 B/op	       1 allocs/op
BenchmarkSetField_Overwrite-8       	13605975	        87.61 ns/op	     704 B/op	       1 allocs/op
BenchmarkSetField_Overwrite-8       	13817880	        87.54 ns/op	     704 B/op	       1 allocs/op
BenchmarkSetField_Overwrite-8       	12682508	        87.88 ns/op	     704 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=on-8         	 5022237	       238.6 ns/op	     239 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=on-8         	 5083837	       231.1 ns/op	     232 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=on-8         	 4829874	       230.2 ns/op	     239 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=on-8         	 5249433	       225.7 ns/op	     238 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=on-8         	 5209558	       226.8 ns/op	     238 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=on-8         	 5237176	       228.0 ns/op	     238 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=on-8         	 5126953	       230.7 ns/op	     239 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=on-8         	 5235608	       232.6 ns/op	     238 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=on-8         	 4973497	       233.4 ns/op	     239 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=on-8         	 4924215	       233.3 ns/op	     239 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=off-8        	 7254573	       161.3 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=off-8        	 7340236	       161.3 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=off-8        	 7353794	       161.8 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=off-8        	 7369700	       163.3 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=off-8        	 7168742	       161.2 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=off-8        	 7247804	       161.7 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=off-8        	 7196277	       163.6 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=off-8        	 7228411	       171.4 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=off-8        	 7333315	       165.7 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5/recordIdentity=off-8        	 7183760	       159.9 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=on-8        	 2157070	       529.0 ns/op	     820 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=on-8        	 2253409	       511.2 ns/op	     818 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=on-8        	 2311119	       530.6 ns/op	     817 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=on-8        	 2509224	       517.1 ns/op	     814 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=on-8        	 2281630	       497.7 ns/op	     817 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=on-8        	 2281375	       591.8 ns/op	     817 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=on-8        	 2193432	       533.7 ns/op	     819 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=on-8        	 2116362	       508.9 ns/op	     821 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=on-8        	 2133796	       515.1 ns/op	     820 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=on-8        	 2408374	       493.0 ns/op	     776 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=off-8       	 2938756	       404.4 ns/op	     794 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=off-8       	 2799718	       397.1 ns/op	     795 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=off-8       	 2862632	       398.9 ns/op	     795 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=off-8       	 2908309	       396.0 ns/op	     794 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=off-8       	 2951768	       401.7 ns/op	     794 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=off-8       	 2960456	       400.7 ns/op	     794 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=off-8       	 2951584	       389.5 ns/op	     794 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=off-8       	 2968915	       408.4 ns/op	     794 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=off-8       	 2866827	       398.0 ns/op	     768 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20/recordIdentity=off-8       	 2954461	       395.1 ns/op	     794 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=on-8       	  551472	      1827 ns/op	    4243 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=on-8       	  579436	      1976 ns/op	    4206 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=on-8       	  572457	      1794 ns/op	    4215 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=on-8       	  525088	      1997 ns/op	    4282 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=on-8       	  655564	      1961 ns/op	    4119 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=on-8       	  591811	      1858 ns/op	    4190 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=on-8       	  595654	      1814 ns/op	    4185 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=on-8       	  630652	      1915 ns/op	    4145 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=on-8       	  637766	      1823 ns/op	    4138 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=on-8       	  628791	      1842 ns/op	    4147 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=off-8      	  654252	      1717 ns/op	    3983 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=off-8      	  617236	      1694 ns/op	    4014 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=off-8      	  683662	      1580 ns/op	    3960 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=off-8      	  633693	      1700 ns/op	    4000 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=off-8      	  649968	      1662 ns/op	    3986 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=off-8      	  667076	      1669 ns/op	    3973 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=off-8      	  758368	      1620 ns/op	    3910 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=off-8      	  668899	      1691 ns/op	    3971 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=off-8      	  673335	      1701 ns/op	    3968 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100/recordIdentity=off-8      	  771658	      1617 ns/op	    3903 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=on-8                  	 6360302	       182.0 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=on-8                  	 6455636	       181.5 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=on-8                  	 6318294	       188.8 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=on-8                  	 6417169	       183.1 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=on-8                  	 6443301	       182.6 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=on-8                  	 6313966	       183.5 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=on-8                  	 6314973	       182.2 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=on-8                  	 6370939	       180.9 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=on-8                  	 6378762	       180.7 ns/op	       7 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=on-8                  	 6388752	       182.3 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5/recordIdentity=off-8                 	 9466627	       120.6 ns/op	       3 B/op	       0 allocs/op
