BenchmarkAddRow_RecordIdentity/fields=5-8        	 7254573	       161.3 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8        	 7340236	       161.3 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8        	 7353794	       161.8 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8        	 7369700	       163.3 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8        	 7168742	       161.2 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8        	 7247804	       161.7 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8        	 7196277	       163.6 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8        	 7228411	       171.4 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8        	 7333315	       165.7 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8        	 7183760	       159.9 ns/op	     228 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8       	 2938756	       404.4 ns/op	     794 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8       	 2799718	       397.1 ns/op	     795 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8       	 2862632	       398.9 ns/op	     795 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8       	 2908309	       396.0 ns/op	     794 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8       	 2951768	       401.7 ns/op	     794 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8       	 2960456	       400.7 ns/op	     794 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8       	 2951584	       389.5 ns/op	     794 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8       	 2968915	       408.4 ns/op	     794 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8       	 2866827	       398.0 ns/op	     768 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8       	 2954461	       395.1 ns/op	     794 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100-8      	  654252	      1717 ns/op	    3983 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100-8      	  617236	      1694 ns/op	    4014 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100-8      	  683662	      1580 ns/op	    3960 B/op	       1 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100-8      	  633693	      1700 ns/op	    4000 B/op	       1 allocs/op
