BenchmarkAddRow_RecordIdentity/fields=5-8         	 5022237	       238.6 ns/op	     239 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8         	 5083837	       231.1 ns/op	     232 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8         	 4829874	       230.2 ns/op	     239 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8         	 5249433	       225.7 ns/op	     238 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8         	 5209558	       226.8 ns/op	     238 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8         	 5237176	       228.0 ns/op	     238 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8         	 5126953	       230.7 ns/op	     239 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8         	 5235608	       232.6 ns/op	     238 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8         	 4973497	       233.4 ns/op	     239 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=5-8         	 4924215	       233.3 ns/op	     239 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8        	 2157070	       529.0 ns/op	     820 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8        	 2253409	       511.2 ns/op	     818 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8        	 2311119	       530.6 ns/op	     817 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8        	 2509224	       517.1 ns/op	     814 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8        	 2281630	       497.7 ns/op	     817 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8        	 2281375	       591.8 ns/op	     817 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8        	 2193432	       533.7 ns/op	     819 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8        	 2116362	       508.9 ns/op	     821 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8        	 2133796	       515.1 ns/op	     820 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=20-8        	 2408374	       493.0 ns/op	     776 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100-8       	  551472	      1827 ns/op	    4243 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100-8       	  579436	      1976 ns/op	    4206 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100-8       	  572457	      1794 ns/op	    4215 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100-8       	  525088	      1997 ns/op	    4282 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100-8       	  655564	      1961 ns/op	    4119 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100-8       	  591811	      1858 ns/op	    4190 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100-8       	  595654	      1814 ns/op	    4185 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100-8       	  630652	      1915 ns/op	    4145 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100-8       	  637766	      1823 ns/op	    4138 B/op	       2 allocs/op
BenchmarkAddRow_RecordIdentity/fields=100-8       	  628791	      1842 ns/op	    4147 B/op	       2 allocs/op
BenchmarkAddInsertRow/fields=5-8                  	 6360302	       182.0 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5-8                  	 6455636	       181.5 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5-8                  	 6318294	       188.8 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5-8                  	 6417169	       183.1 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5-8                  	 6443301	       182.6 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5-8                  	 6313966	       183.5 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5-8                  	 6314973	       182.2 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5-8                  	 6370939	       180.9 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=5-8                  	 6378762	       180.7 ns/op	       7 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=5-8                  	 6388752	       182.3 ns/op	      13 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=20-8                 	 3118626	       379.4 ns/op	      38 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=20-8                 	 3117235	       367.0 ns/op	      38 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=20-8                 	 3195640	       367.0 ns/op	      37 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=20-8                 	 3208735	       362.4 ns/op	       7 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=20-8                 	 3131284	       363.1 ns/op	       7 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=20-8                 	 3150223	       366.9 ns/op	      38 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=20-8                 	 3193424	       364.8 ns/op	      37 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=20-8                 	 3194748	       378.6 ns/op	      37 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=20-8                 	 3143186	       363.7 ns/op	       7 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=20-8                 	 3072912	       419.5 ns/op	      38 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100-8                	  836924	      1439 ns/op	     521 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100-8                	  798154	      1412 ns/op	     546 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100-8                	  790795	      1400 ns/op	     551 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100-8                	  742579	      1444 ns/op	     586 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100-8                	  772701	      1409 ns/op	     564 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100-8                	  772294	      1439 ns/op	     564 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100-8                	  785016	      1406 ns/op	     555 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100-8                	  764912	      1414 ns/op	     569 B/op	       1 allocs/op
BenchmarkAddInsertRow/fields=100-8                	  780211	      1350 ns/op	       7 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=100-8                	  783943	      1352 ns/op	       7 B/op	       0 allocs/op
BenchmarkNewLogMessageProcessor-8                 	 2105012	       567.8 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor-8                 	 2127166	       563.4 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor-8                 	 2103874	       582.2 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor-8                 	 2119348	       591.1 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor-8                 	 2130831	       564.1 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor-8                 	 2113136	       561.8 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor-8                 	 2035245	       563.3 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor-8                 	 1982343	       590.1 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor-8                 	 2115984	       595.0 ns/op	     528 B/op	      12 allocs/op
BenchmarkNewLogMessageProcessor-8                 	 2075113	       592.5 ns/op	     528 B/op	      12 allocs/op
